Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",32.000000,11.500000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",32.000000,10.250000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",31.500000,5.250000,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",26.250000,2.550000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",21.500000,5.250000,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",21.500000,11.250000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",27.000000,13.500000,90.000000,top
"C9","1uF","C_0402_1005Metric",29.250000,13.000000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",25.750000,13.500000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",27.500000,2.550000,-90.000000,top
"C12","2.2uF","C_0603_1608Metric",45.500000,10.250000,-90.000000,top
"C13","2.2uF","C_0603_1608Metric",45.500000,13.500000,90.000000,top
"C14","15pF","C_0402_1005Metric",12.750000,1.500000,90.000000,top
"C15","15pF","C_0402_1005Metric",20.250000,1.500000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",30.000000,2.550000,-90.000000,top
"D1","RF071M2STR","D_SOD-123F",11.750000,12.750000,-90.000000,top
"D2","RF071M2STR","D_SOD-123F",42.000000,13.750000,180.000000,top
"D3","Yellow","LED_0603_1608Metric",9.250000,1.750000,0.000000,top
"D4","Yellow","LED_0603_1608Metric",6.000000,1.750000,0.000000,top
"D5","Green","LED_0603_1608Metric",35.250000,10.500000,0.000000,top
"D6","Green","LED_0603_1608Metric",1.500000,1.750000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",3.750000,8.000000,-90.000000,top
"P1","USB_A_Plug_PCB","USB_A_Plug_PCB_Shorter_Pads",51.191880,7.997580,180.000000,top
"R1","27","R_0402_1005Metric",32.000000,14.000000,180.000000,top
"R2","27","R_0402_1005Metric",32.000000,12.750000,180.000000,top
"R3","1k","R_0402_1005Metric",21.600000,14.000000,-90.000000,top
"R4","10k","R_0402_1005Metric",22.800000,14.000000,90.000000,top
"R5","22","R_0402_1005Metric",21.000000,7.500000,180.000000,top
"R6","22","R_0402_1005Metric",21.000000,8.500000,180.000000,top
"R7","6.8k","R_0402_1005Metric",21.500000,1.500000,-90.000000,top
"R8","1k","R_0402_1005Metric",29.500000,0.750000,180.000000,top
"R9","5.1k","R_0402_1005Metric",5.750000,14.250000,0.000000,top
"R10","5.1k","R_0402_1005Metric",3.500000,14.250000,180.000000,top
"R12","5.1k","R_0402_1005Metric",44.250000,2.750000,0.000000,top
"R13","5.1k","R_0402_1005Metric",10.500000,3.250000,180.000000,top
"R14","5.1k","R_0402_1005Metric",10.500000,4.500000,180.000000,top
"R15","5.1k","R_0402_1005Metric",37.250000,10.500000,-90.000000,top
"R16","5.1k","R_0402_1005Metric",3.750000,1.500000,-90.000000,top
"SW1","BOOT","SW_SPST_FSMSM",37.000000,7.550000,180.000000,top
"SW2","RST","SW_SPST_FSMSM",37.000000,2.550000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",26.500000,8.050000,0.000000,top
"U2","W25Q128JVPIQ","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",17.250000,12.250000,0.000000,top
"U3","WE-TVS-82400102","SOT-23-6",35.750000,13.250000,0.000000,top
"U4","AP7366-33W5-7","SOT-23-5",42.250000,10.500000,0.000000,top
"U5","WE-TVS-82400102","SOT-23-6",11.750000,8.000000,180.000000,top
"Y1","12MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",16.500000,2.500000,180.000000,top
